"","pair1","pair2","Yfrom","Yuntil","correlation","observation","p"
"42137","P0179","P0749",2017,2020,-0.302883817973809,183,3.07851713808728e-05
"42141","P0179","P0786",2017,2020,-0.159072432453363,203,0.0233968630973175
"42146","P0179","P0802",2017,2020,-0.309794410098025,227,1.94204629167727e-06
"42147","P0179","P0804",2017,2020,-0.132103117620878,229,0.0458356712298958
"42149","P0179","P0816",2017,2020,-0.163003066097783,242,0.0110975674708349
"42156","P0179","P0834",2017,2020,-0.229473007332592,198,0.00114582511735294
"42163","P0179","P0876",2017,2020,-0.180050773593838,264,0.00332876045072503
"42165","P0179","P0879",2017,2020,-0.124068406122134,287,0.0356582937228738
"42166","P0179","P0880",2017,2020,-0.15090248547665,237,0.0201171062840386
"42167","P0179","P0884",2017,2020,-0.259168413848609,318,2.81736621960967e-06
"42168","P0179","P0887",2017,2020,-0.242839876193529,222,0.000259563871844241
"42170","P0179","P0889",2017,2020,-0.248861387048037,205,0.00032050180824504
"42171","P0179","P0890",2017,2020,-0.237726987781446,207,0.000562324207404075
"42173","P0179","P0898",2017,2020,-0.131264701486147,270,0.031065682125325
"42179","P0179","P0906",2017,2020,-0.149667857071245,212,0.0293614851217088
"42180","P0179","P0908",2017,2020,-0.160881799412949,213,0.0187985764670363
"42863","P0183","P0195",2017,2020,0.231977945570533,131,0.00767291218977481
"42904","P0183","P0528",2017,2020,0.199235438164976,214,0.00342365901549769
"42925","P0183","P0645",2017,2020,0.291240141835663,235,5.63569490986913e-06
"42940","P0183","P0786",2017,2020,0.225307132479657,155,0.00482214093527877
"42949","P0183","P0800",2017,2020,0.209378647983037,173,0.00569762899736319
"42950","P0183","P0804",2017,2020,0.248968251198132,185,0.000632330897095731
"42951","P0183","P0816",2017,2020,0.153075161876494,197,0.0317525260165355
"42960","P0183","P0876",2017,2020,0.165792713241033,222,0.0133814631447242
"42962","P0183","P0879",2017,2020,0.182907731849778,252,0.00357109983779717
"42963","P0183","P0880",2017,2020,0.250574605483994,194,0.000425190983505766
"42965","P0183","P0898",2017,2020,0.233649768788846,228,0.000373664105985401
"42968","P0183","P0906",2017,2020,0.202731513393743,164,0.00922868261575852
"42969","P0183","P0907",2017,2020,0.264291553834012,156,0.000856264664410251
"42975","P0183","P0931",2017,2020,0.198403109797325,171,0.00928602224645196
"45268","P0195","P0211",2017,2020,-0.191862295797654,152,0.0178867949858887
"45275","P0195","P0315",2017,2020,-0.170866323644355,157,0.0323870710415019
"45283","P0195","P0378",2017,2020,-0.272585018727692,179,0.000222897391822918
"45302","P0195","P0529",2017,2020,-0.186120780547512,189,0.0103411448334016
"45308","P0195","P0560",2017,2020,-0.231468607414751,170,0.00238890138880435
"45309","P0195","P0561",2017,2020,-0.183199454061116,165,0.0185068074659167
"45313","P0195","P0576",2017,2020,-0.232171457285844,211,0.000676286661715469
"45326","P0195","P0644",2017,2020,-0.283873674942923,186,8.61887732759257e-05
"45328","P0195","P0654",2017,2020,-0.255001483186274,193,0.000345002541641224
"45332","P0195","P0670",2017,2020,-0.182235419844414,176,0.0154904564113629
"45336","P0195","P0689",2017,2020,-0.396374715776901,162,1.7753550539409e-07
"45343","P0195","P0744",2017,2020,-0.465894596635463,152,1.46166622740735e-09
"45344","P0195","P0748",2017,2020,-0.253905476104053,143,0.00221391006898668
"45345","P0195","P0749",2017,2020,-0.239715366614844,167,0.00180752910218449
"45347","P0195","P0782",2017,2020,-0.208778254584709,171,0.00613698472013687
"45348","P0195","P0785",2017,2020,-0.20848304744982,163,0.00757020625933317
"45352","P0195","P0802",2017,2020,-0.269649589665125,212,6.98312323776038e-05
"45353","P0195","P0803",2017,2020,-0.247917609416058,147,0.00246510760486141
"45355","P0195","P0818",2017,2020,-0.406603061905683,177,1.95766524280051e-08
"45357","P0195","P0824",2017,2020,-0.292000031504484,155,0.000227251529261188
"45359","P0195","P0828",2017,2020,-0.217086343882022,146,0.00848883547865549
"45361","P0195","P0834",2017,2020,-0.194808330919312,191,0.00692240518912911
"45362","P0195","P0840",2017,2020,-0.185632169728741,179,0.0128517303042333
"45363","P0195","P0851",2017,2020,-0.300194853650755,188,2.84464644601861e-05
"45364","P0195","P0857",2017,2020,-0.355446738334904,175,1.38609542876346e-06
"45368","P0195","P0884",2017,2020,-0.150813160129268,302,0.00866450673023614
"45370","P0195","P0889",2017,2020,-0.182706050395717,194,0.0107767778802677
"45371","P0195","P0890",2017,2020,-0.153819508184481,197,0.0309215724521142
"45376","P0195","P0908",2017,2020,-0.145658377434569,203,0.0381193692767261
"48638","P0211","P0236",2012,2020,0.396304825350092,243,1.45206903590947e-10
"48640","P0211","P0238",2012,2020,0.348289020490913,343,3.22816475361953e-11
"48686","P0211","P0315",2017,2020,0.473932482795035,117,6.76519940525898e-08
"48782","P0211","P0528",2012,2020,0.555239010763171,482,2.49076907092218e-40
"48783","P0211","P0529",2012,2020,0.377525222624763,332,1.09491841271903e-12
"48791","P0211","P0560",2012,2020,0.278097639581064,289,1.56905800517223e-06
"48792","P0211","P0561",2012,2020,0.321717235560178,288,2.33481199727705e-08
"48797","P0211","P0576",2012,2020,0.31231888896582,389,3.00918585277659e-10
"48800","P0211","P0588",2012,2020,0.405533694700439,243,4.90915812735051e-11
"48820","P0211","P0645",2012,2020,0.209798033610727,639,8.66671310101785e-08
"48823","P0211","P0654",2012,2020,0.180739407226168,364,0.000530218998375232
"48830","P0211","P0670",2012,2020,0.333122140945675,329,5.74823544328498e-10
"48833","P0211","P0679",2012,2020,0.288602746269132,235,6.90307870884446e-06
"48844","P0211","P0717",2012,2020,0.431936691098319,350,2.43188575876829e-17
"48862","P0211","P0749",2012,2020,0.155311586047619,334,0.00444023331335871
"48864","P0211","P0751",2012,2020,0.399251921410305,273,7.20280913006043e-12
"48874","P0211","P0761",2012,2020,0.30961903215593,245,7.67194561539707e-07
"48891","P0211","P0786",2012,2020,0.505107220615444,352,3.43897432428046e-24
"48893","P0211","P0795",2012,2020,0.371064603684926,287,8.46816534664754e-11
"48894","P0211","P0796",2012,2020,0.436305708942835,286,1.01420567512578e-14
"48895","P0211","P0797",2012,2020,0.430270525487115,254,7.19095709111278e-13
"48897","P0211","P0800",2012,2020,0.52451889174464,404,6.17290238065016e-30
"48899","P0211","P0802",2012,2020,0.337348740432444,429,7.0538860832349e-13
"48900","P0211","P0804",2012,2020,0.538904173058091,438,2.3262156902543e-34
"48902","P0211","P0807",2012,2020,0.397274146456737,273,9.3271324632963e-12
"48904","P0211","P0810",2012,2020,0.347272709036889,250,1.70203344843381e-08
"48906","P0211","P0813",2012,2020,0.312091537571081,265,2.14180230919801e-07
"48907","P0211","P0814",2012,2020,0.374619562135518,236,2.81118100283913e-09
